#: table_doi: 10.17182/hepdata.95664.v2/t49
#: name: Exp.Contour 3
#: description: Exclusion limits in the mass plane of the lightest neutralino and the gluino for gluino pair production with direct decays obtained by using the signal region with the best expected sensitivity at each point. The expected limits are indicated with a dark dashed curve, with the light (yellow) band indicating the $1\sigma$ excursions due to experimental and background-only theoretical uncertainties.
#: data_file: exp.contour_3.yaml
#: keyword reactions: PP --> SQUARK SQUARK | PP --> GLUINO GLUINO | PP --> SQUARK GLUINO
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
M(Gluino) [GeV],M(LSP) [GeV]
2336.7,0.0
2334.3,18.182
2332.5,36.364
2331.3,54.545
2330.5,72.727
2330.3,78.902
2329.9,90.909
2329.5,109.09
2329.0,127.27
2328.5,145.45
2327.9,163.64
2327.2,181.82
2326.2,200.0
2325.0,218.18
2323.6,236.36
2322.1,254.55
2320.3,272.73
2318.5,290.91
2316.7,309.09
2314.8,327.27
2312.7,345.45
2310.3,363.64
2309.1,371.44
2307.6,381.82
2304.5,400.0
2300.9,418.18
2296.9,436.36
2292.4,454.55
2287.9,471.79
2287.6,472.73
2282.8,490.91
2277.6,509.09
2272.1,527.27
2266.7,543.9
2266.2,545.45
2260.2,563.64
2253.9,581.82
2247.3,600.0
2245.5,605.09
2241.0,618.18
2234.8,636.36
2228.6,654.55
2224.2,666.4
2222.1,672.73
2215.3,690.91
2208.0,709.09
2203.0,720.64
2200.3,727.27
2192.3,745.45
2183.7,763.64
2181.8,767.44
2175.2,781.82
2166.9,800.0
2160.6,814.11
2158.8,818.18
2150.8,836.36
2142.4,854.55
2139.4,860.86
2133.9,872.73
2125.3,890.91
2118.2,905.36
2116.3,909.09
2106.9,927.27
2097.0,944.8
2096.6,945.45
2085.3,963.64
2075.8,977.7
2072.8,981.82
2058.9,1000.0
2054.5,1005.4
2043.5,1018.2
2033.3,1029.7
2027.1,1036.4
2012.1,1051.8
2009.0,1054.5
1990.9,1069.8
1985.9,1072.7
1969.7,1080.6
1948.5,1088.0
1938.8,1090.9
1927.3,1094.2
1906.1,1100.1
1884.8,1108.9
1884.5,1109.1
1863.6,1118.8
1842.4,1126.7
1840.6,1127.3
1821.2,1133.2
1800.0,1137.9
1778.8,1140.8
1757.6,1142.3
1736.4,1142.8
1715.2,1142.6
1693.9,1142.1
1672.7,1141.5
1651.5,1140.3
1630.3,1138.2
1609.1,1135.0
1587.9,1130.5
1576.1,1127.3
1566.7,1124.8
1545.5,1118.0
1524.2,1109.6
1523.1,1109.1
1503.0,1101.3
1481.8,1097.1
1460.6,1094.1
1439.4,1091.1
1438.1,1090.9
1418.2,1088.4
1397.0,1086.4
1375.8,1085.3
1354.5,1084.8
1333.3,1084.6
1312.1,1084.3
1290.9,1084.5
1269.7,1085.4
1248.5,1085.6
1227.3,1085.4
1206.1,1085.7
1184.8,1086.9
1163.6,1086.3
1142.4,1081.1
1124.4,1072.7
1121.2,1071.4
1100.0,1054.8
1099.6,1054.5
1078.8,1045.3
1067.0,1036.4
1057.6,1030.2
1045.6,1018.2
1036.4,1011.5
1021.3,1000.0
1015.2,996.0
998.7,981.82
993.94,978.43
977.95,963.64
972.73,959.05
958.5,945.45
951.52,939.12
941.24,927.27
930.3,918.7
920.28,909.09
909.09,902.58
898.06,890.91
887.88,881.72
878.92,872.73
866.67,856.01
864.56,854.55
847.58,836.36
845.45,833.74
831.29,818.18
824.24,811.7
811.0,800.0
803.03,793.92
791.57,781.82
781.82,773.5
772.1,763.64
760.61,750.41
755.53,745.45
741.8,727.27
739.39,724.23
726.38,709.09
718.18,701.79
706.2,690.91
696.97,684.69
681.2,672.73
675.76,667.75
663.21,654.55
654.55,643.47
648.42,636.36
633.97,618.18
633.33,617.5
616.08,600.0
612.12,597.01
593.08,581.82
590.91,580.41
571.98,563.64
569.7,560.9
556.16,545.45
548.48,531.96
546.08,527.27
530.52,509.09
527.27,506.41
506.06,494.78
496.87,490.91

