#: table_doi: 10.17182/hepdata.95664.v2/t50
#: name: Obs.Contour 3
#: description: Exclusion limits in the mass plane of the lightest neutralino and the gluino for gluino pair production with direct decays obtained by using the signal region with the best expected sensitivity at each point. The observed limits are indicated by the medium dark (maroon) curve where the solid contour represents the nominal limit, and the dotted lines are obtained by varying the signal cross-section by the renormalisation and factorisation scale and PDF uncertainties.
#: data_file: obs.contour_3.yaml
#: keyword reactions: PP --> SQUARK SQUARK | PP --> GLUINO GLUINO | PP --> SQUARK GLUINO
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
M(Gluino) [GeV],M(LSP) [GeV]
2308.5,0.0
2305.8,18.182
2303.6,36.364
2301.9,54.545
2300.7,72.727
2299.8,90.909
2299.3,109.09
2299.2,127.27
2299.1,145.45
2299.0,163.64
2298.7,181.82
2298.0,200.0
2297.0,218.18
2295.5,236.36
2293.5,254.55
2291.0,272.73
2288.1,290.91
2287.9,292.32
2284.9,309.09
2281.4,327.27
2277.5,345.45
2273.1,363.64
2268.3,381.82
2266.7,387.42
2263.1,400.0
2257.6,418.18
2251.7,436.36
2245.5,453.62
2245.1,454.55
2238.3,472.73
2230.8,490.91
2224.2,506.09
2223.0,509.09
2215.4,527.27
2207.4,545.45
2203.0,554.88
2199.0,563.64
2190.0,581.82
2181.8,596.49
2179.9,600.0
2168.8,618.18
2160.6,630.56
2156.9,636.36
2144.4,654.55
2139.4,661.43
2131.4,672.73
2118.2,690.4
2117.8,690.91
2104.2,709.09
2097.0,718.21
2090.2,727.27
2075.9,745.45
2075.8,745.58
2061.7,763.64
2054.5,772.6
2047.3,781.82
2033.4,800.0
2033.3,800.12
2021.6,818.18
2012.1,835.52
2011.7,836.36
2002.9,854.55
1994.0,872.73
1990.9,879.0
1984.5,890.91
1972.6,909.09
1969.7,913.26
1961.1,927.27
1951.3,945.45
1948.5,951.31
1943.3,963.64
1936.2,981.82
1929.7,1000.0
1927.3,1006.8
1923.2,1018.2
1916.4,1036.4
1908.8,1054.5
1906.1,1060.6
1899.9,1072.7
1888.9,1090.9
1884.8,1096.2
1872.6,1109.1
1863.6,1117.1
1849.8,1127.3
1842.4,1132.2
1821.2,1143.4
1816.1,1145.5
1800.0,1151.6
1778.8,1157.2
1757.6,1160.5
1736.4,1162.1
1715.2,1162.0
1693.9,1160.8
1672.7,1158.6
1651.5,1155.5
1630.3,1151.7
1609.1,1147.2
1601.7,1145.5
1587.9,1142.4
1566.7,1137.0
1545.5,1130.7
1535.3,1127.3
1524.2,1123.7
1503.0,1116.2
1481.8,1110.1
1478.0,1109.1
1460.6,1104.9
1439.4,1099.7
1418.2,1094.7
1401.3,1090.9
1397.0,1089.9
1375.8,1085.5
1354.5,1080.9
1333.3,1076.0
1320.8,1072.7
1312.1,1070.7
1290.9,1065.6
1269.7,1060.3
1250.1,1054.5
1248.5,1054.1
1227.3,1047.7
1206.1,1041.3
1184.8,1036.6
1183.6,1036.4
1163.6,1033.5
1142.4,1029.2
1121.2,1023.6
1100.0,1020.4
1078.8,1019.2
1075.2,1018.2
1057.6,1013.0
1037.3,1000.0
1036.4,999.42
1015.2,983.13
1013.8,981.82
995.28,963.64
993.94,962.68
972.73,951.62
965.23,945.45
951.52,936.68
943.24,927.27
930.3,918.14
920.81,909.09
909.09,902.52
898.12,890.91
887.88,881.72
878.92,872.73
866.67,856.01
864.56,854.55
847.57,836.36
845.45,833.75
831.28,818.18
824.24,811.71
810.99,800.0
803.03,793.93
791.57,781.82
781.82,773.5
772.1,763.64
760.61,750.41
755.53,745.45
741.8,727.27
739.39,724.23
726.38,709.09
718.18,701.79
706.2,690.91
696.97,684.69
681.2,672.73
675.76,667.75
663.21,654.55
654.55,643.47
648.42,636.36
633.97,618.18
633.33,617.5
616.08,600.0
612.12,597.01
593.08,581.82
590.91,580.41
571.98,563.64
569.7,560.9
556.16,545.45
548.48,531.96
546.08,527.27
530.52,509.09
527.27,506.41
506.06,494.78
496.87,490.91

